title,channel,video_url,views,likes,comments,publishedAt,duration
Mister V est incontrôlable,SQUEEZIE,https://www.youtube.com/watch?v=yCFUAIVrUAk,1216502,69317,133,2024-07-26T18:00:30Z,PT52S
Freddy est un peu trop direct,SQUEEZIE,https://www.youtube.com/watch?v=MuGJZuTL5-w,1896537,82624,196,2024-07-24T17:00:23Z,PT28S
Squeezie désarme un cambrioleur,SQUEEZIE,https://www.youtube.com/watch?v=M2kAY-xlVb0,1205844,85058,165,2024-07-22T17:18:59Z,PT47S
"LE PIRE DATE #3 (ft Mister V, Freddy Gladieux & Théo Juice)",SQUEEZIE,https://www.youtube.com/watch?v=gBSLrZAR5sE,14887430,547019,6215,2024-07-21T12:26:02Z,PT51M1S
Elle joue à Valorant à 72 ans,SQUEEZIE,https://www.youtube.com/watch?v=4x0c_ZeQJDs,574855,39766,34,2024-07-17T17:00:02Z,PT45S
Ne faites pas vos créneaux comme Évelyne,SQUEEZIE,https://www.youtube.com/watch?v=YC_QhRzSYRo,1056007,69700,99,2024-07-15T17:00:21Z,PT54S
Squeezie se fait cancel en plein tournage,SQUEEZIE,https://www.youtube.com/watch?v=DlxRUshd41g,511034,32498,76,2024-07-13T17:59:58Z,PT40S
Il conduit à 15 ans,SQUEEZIE,https://www.youtube.com/watch?v=Vf9DI4oBOiU,1407210,113916,161,2024-07-05T17:00:44Z,PT57S
"Qui sera la meilleure génération ? (ft Djilsi, Maxime Biaggi & Billy)",SQUEEZIE,https://www.youtube.com/watch?v=x7bDk4Jvh6s,10663816,494239,7749,2024-07-04T18:54:31Z,PT49M19S
Ces parents cachaient un horrible secret...,SQUEEZIE,https://www.youtube.com/watch?v=L9HzH8v0Now,10262285,587421,10330,2024-06-28T18:29:35Z,PT37M19S
Squeezie n'aime pas les Trappistes?,SQUEEZIE,https://www.youtube.com/watch?v=ZeJqsG2r7wE,408207,18379,45,2024-06-27T17:00:20Z,PT42S
L'interrogatoire de DJ Snake,SQUEEZIE,https://www.youtube.com/watch?v=quCisV8sNcU,2325494,110914,352,2024-06-18T18:01:59Z,PT59S
"""Oh la vache !""",SQUEEZIE,https://www.youtube.com/watch?v=rmL7pzYWe0Q,2741507,182838,556,2024-06-16T11:52:36Z,PT56S
QUI EST L'IMPOSTEUR ? (ft Omar Sy & DJ Snake),SQUEEZIE,https://www.youtube.com/watch?v=k-x7rTbrtTk,14360884,681056,13339,2024-06-15T17:54:06Z,PT42M33S
GP Explorer 3 ?,SQUEEZIE,https://www.youtube.com/watch?v=dGYArVDhgO4,925986,65915,191,2024-06-10T17:00:24Z,PT52S
Pourquoi je n'ai plus répondu à Cyprien ?,SQUEEZIE,https://www.youtube.com/watch?v=SvU3wJ0WWjc,2545850,140732,386,2024-06-09T08:02:17Z,PT47S
Ce cuisinier japonais a infiltré la Corée du Nord...,SQUEEZIE,https://www.youtube.com/watch?v=ITeChD670b4,7780136,441000,6499,2024-06-07T17:44:41Z,PT25M30S
Éric et Ramzy entrent à Grévin,SQUEEZIE,https://www.youtube.com/watch?v=8eE7Fg3CS3s,332232,17672,74,2024-06-06T13:23:02Z,PT59S
Est-ce que j'ai été touché que Tibo passe premier ?,SQUEEZIE,https://www.youtube.com/watch?v=_cLt2gFDTRs,979441,65747,591,2024-06-04T17:00:21Z,PT37S
Qui a chié dans le lavabo ?,SQUEEZIE,https://www.youtube.com/watch?v=EnxQetOWRoU,2625131,179571,281,2024-06-01T17:00:12Z,PT59S
"On passe au détecteur de mensonges... (ft Djilsi, Maxime Biaggi & Gotaga)",SQUEEZIE,https://www.youtube.com/watch?v=wHgW1jU3YZc,9319783,505962,5105,2024-05-31T18:06:45Z,PT31M51S
Squeezie fait un accent raciste ?!,SQUEEZIE,https://www.youtube.com/watch?v=F4wVfaH8S-U,2508849,172835,1084,2024-05-26T12:44:05Z,PT59S
"Le jeu de l'imposteur, version Hardcore",SQUEEZIE,https://www.youtube.com/watch?v=X73UMj2_zSY,3591578,181711,424,2024-05-23T17:00:20Z,PT57S
Squeezie se fait raser le crâne ?,SQUEEZIE,https://www.youtube.com/watch?v=-LRPXtezifM,357620,23522,134,2024-05-19T09:43:07Z,PT55S
"IL Y A QUOI DERRIÈRE LA PORTE ? (ft Eric & Ramzy, Mister V)",SQUEEZIE,https://www.youtube.com/watch?v=p9sfxpgRATM,16874220,819151,20201,2024-05-18T18:55:13Z,PT57M58S
De retour sur youtube Samedi 18 Mai 🫶🏻,SQUEEZIE,https://www.youtube.com/watch?v=5ADiaN7-0NM,641511,71002,2516,2024-05-11T17:55:24Z,PT34S
Billy s'est fait piéger,SQUEEZIE,https://www.youtube.com/watch?v=z1-WSa3MzxY,1255141,77635,100,2024-05-08T17:00:40Z,PT47S
La chorégraphie de Squeezie et Seb,SQUEEZIE,https://www.youtube.com/watch?v=-IL4EmCBRzI,425999,31935,82,2024-05-05T17:00:00Z,PT47S
Je fais un cadeau au professeur,SQUEEZIE,https://www.youtube.com/watch?v=GZVlFfMLQeU,168770,10147,30,2024-05-02T17:00:12Z,PT25S
Je pense qu'Hugo s'est fait avoir,SQUEEZIE,https://www.youtube.com/watch?v=E9tO_QQypXQ,579360,41690,54,2024-04-29T17:00:08Z,PT36S
Je suis si mauvais acteur,SQUEEZIE,https://www.youtube.com/watch?v=udDWLt-C6UE,279549,22171,44,2024-04-26T17:00:39Z,PT39S
On est les Dalton,SQUEEZIE,https://www.youtube.com/watch?v=KYLzNDx29kc,961703,60417,46,2024-04-23T17:00:23Z,PT21S
Les problèmes de couple du prof,SQUEEZIE,https://www.youtube.com/watch?v=VK5rqkaUkA0,595405,37363,46,2024-04-20T17:00:29Z,PT42S
